gameNumber,result,type,Color,expe
20241117100051589,2,Small,red,a
20241117100051588,1,Small,green,a
20241117100051587,6,Big,red,a
20241117100051586,3,Small,green,a
20241117100051585,5,Big,green,pink
20241117100051584,1,Small,green,a
20241117100051583,4,Small,red,a
20241117100051582,2,Small,red,a
20241117100051581,7,Big,green,a
20241117100051580,3,Small,green,a
20241117100051579,9,Big,green,a
20241117100051578,6,Big,red,a
20241117100051577,0,Small,red,pink
20241117100051576,6,Big,red,a
20241117100051575,2,Small,red,a
20241117100051574,2,Small,red,a
20241117100051553,2,Small,red,a
20241117100051552,8,Big,red,a
20241117100051551,7,Big,green,a
20241117100051550,8,Big,red,a
20241117100051549,9,Big,green,a
20241117100051548,9,Big,green,a
20241117100051547,7,Big,green,a
20241117100051546,1,Small,green,a
20241117100051545,1,Small,green,a
20241117100051544,8,Big,red,a
20241117100051453,0,Small,red,pink
20241117100051452,4,Small,red,a
20241117100051451,4,Small,red,a
20241117100051450,4,Small,red,a
20241117100051449,3,Small,green,a
20241117100051448,2,Small,red,a
20241117100051447,6,Big,red,a
20241117100051446,9,Big,green,a
20241117100051445,9,Big,green,a
20241117100051444,7,Big,green,a
20241117100051424,2,Small,red,a
20241117100051423,7,Big,green,a
20241117100051422,0,Small,red,pink
20241117100051421,8,Big,red,a
20241117100051420,5,Big,green,pink
20241117100051419,4,Small,red,a
20241117100051418,1,Small,green,a
20241117100051417,4,Small,red,a
20241117100051416,1,Small,green,a
20241117100051415,5,Big,green,pink
20241117100051414,8,Big,red,a
20241117100051413,2,Small,red,a
20241117100051412,2,Small,red,a
20241117100051411,3,Small,green,a
20241117100051410,7,Big,green,a
20241117100051409,3,Small,green,a
20241117100051408,1,Small,green,a
20241117100051407,3,Small,green,a
20241117100051406,4,Small,red,a
20241117100051405,5,Big,green,pink
20241117100051404,2,Small,red,a
20241117100051403,4,Small,red,a
20241117100051402,9,Big,green,a
20241117100051401,3,Small,green,a
20241117100051400,4,Small,red,a
20241117100051399,1,Small,green,a
20241117100051398,3,Small,green,a
20241117100051397,8,Big,red,a
20241117100051396,2,Small,red,a
20241117100051395,7,Big,green,a
20241117100051394,2,Small,red,a
20241117100051393,8,Big,red,a
20241117100051392,3,Small,green,a
20241117100051391,0,Small,red,pink
20241117100051390,5,Big,green,pink
20241117100051389,4,Small,red,a
20241117100051388,0,Small,red,pink
20241117100051387,3,Small,green,a
20241117100051386,1,Small,green,a
20241117100051385,6,Big,red,a
20241117100051384,1,Small,green,a
